Product Name,Price,Old Price,Discount,Rating,Reviews
"Amtec 32R1S, 32"" Inch Smart Android TV 1GB DDR,8GB ROM,4-CORE LED TV","KSh 11,599","KSh 19,000",39%,3.9,3.9 out of 5(103)
"Vitron HTC3246 - 32"" HD LED Digital TV - Black (1YR WRTY)","KSh 10,928","KSh 13,599",20%,3.9,3.9 out of 5(104)
"Vitron HTC3200S,32 Inch Frameless Smart Android TV Inbuilt Wifi+FREE TVGuard+Extension","KSh 13,995","KSh 18,500",24%,4.6,4.6 out of 5(8)
"Amtec 32R1S,32” Inch Bluetooth Smart TV 1GB DDR,8GB RAM,4-CORE+FREE Bracket+Extension","KSh 13,695","KSh 18,500",26%,5,5 out of 5(1)
Vitron AC/DC LED DIGITAL TV With Inbuilt Decorder 22'' INCHES,"KSh 7,946","KSh 8,489",6%,4.2,4.2 out of 5(20)
"Amtec 32M8-32"" Inch AC/DC-HD LED Digital TV Inbuilt Decoder HDMI USB Television+Free Wall Bracket- Black","KSh 12,595","KSh 17,500",28%,5,5 out of 5(1)
"Amtec 32R1S,FRAMLESS 32"" Inch Bluetooth SmartAndroid TVNetflixYoutube+TVGuard+Bracket","KSh 13,695","KSh 20,000",32%,3.8,3.8 out of 5(10)
"Amtec 32M8, 32"" Inch AC/DC Frameless Digital LED TV Inbuilt Decoder HDMI USB - Black.","KSh 12,495","KSh 17,500",29%,4.3,4.3 out of 5(10)
Digital Smart TV Ariel With A 10M Free Coaxiable Cable,KSh 799,KSh 999,20%,2.3,2.3 out of 5(4)
"Vitron 2446,24"" Inch Television AC/DC Digital TV InbuiltDecoder+FREE Bracket+Extension","KSh 10,699","KSh 15,090",29%,4.4,4.4 out of 5(7)
"Vitron HTC3218 32"" HD TV Inbuilt Decoder Frameless LED Digital TV USB HDMI","KSh 12,195","KSh 16,500",26%,4.4,4.4 out of 5(25)
"Vitron HTC3218 32"" Digital Television HD LED TV Screen Inbuilt Decoder USB HDMI Ports","KSh 12,295","KSh 20,000",39%,4.4,4.4 out of 5(42)
CTC 22''INCHES DIGITAL LED TV WITH USB AND HDMI PORTS,"KSh 6,697","KSh 7,999",16%,N/A,N/A
"Vision Frameless VP8832DF,32"" Inch Digital HD LED TV,HDMI,USB+FREE WALL MOUNT","KSh 13,299","KSh 20,000",34%,4.5,4.5 out of 5(4)
"Amtec 32M8 32"" Inch Frameless Digital TV AC/DC Inbuilt Decoder+FREE TVGuard+Extension","KSh 12,999","KSh 18,000",28%,2.5,2.5 out of 5(2)
"Vitron 24"" Inches HTC2446D - Digital Television Inbuilt Decoder LED TV AC/DC- Black","KSh 9,995","KSh 13,000",23%,4.4,4.4 out of 5(32)
"Vitron HTC3218,32"" INCHES FRAMELESS HD LED Digital LED TV INBUILT DECODER HDMI USB+Free Wall Bracket","KSh 12,495","KSh 16,500",24%,5,5 out of 5(3)
CTC 22'' DIGITAL REAL -TIME SPATIAL AUDIO TV USB AND HDMI PORT,"KSh 6,697","KSh 8,999",26%,N/A,N/A
"Hisense 32A3KKEN,32""inch Digital HD LED TV Inbuilt Decoder USB HDMI+TVGuard+Extension","KSh 16,595","KSh 25,000",34%,4.5,4.5 out of 5(6)
"Syinix 32E62M - Frameless 32"" Inch Television HD LED Digital TV Inbuilt Decoder I-cast Free TV Guard + Bracket - Black","KSh 12,999","KSh 17,500",26%,N/A,N/A
CTC 24'' INCH AC/DC LED DIGITAL TV With Inbuilt Decorder,"KSh 8,397","KSh 11,000",24%,N/A,N/A
"Iconix  32"" INCHES AC/DC LED DIGITAL FRAMELESS TV-FREE TO AIR CHANNELS-USB/HDMI/VGA","KSh 12,800","KSh 22,000",42%,N/A,N/A
"LG 24"" FREE TO AIR CHANNELS DIGITAL TV WITH USB & HDMI PORTS","KSh 13,999","KSh 19,000",26%,3,3 out of 5(4)
"Home Design Tv Bracket For 14""-55"" ROTATING And TILTING Wall Bracket","KSh 1,310","KSh 2,430",46%,N/A,N/A
"Vitron 32"" Inch Frameless  HD LED Digital TV Inbuilt Decoder Wide Color Enhancer 2*USB Ports 3*HDMI Ports Television","KSh 12,195","KSh 16,500",26%,5,5 out of 5(3)
"CTC 26"" INCHES DIGITAL LED TV- FREE TO AIR CHANNELS- USB&HDMI PORTS","KSh 11,599","KSh 17,000",32%,N/A,N/A
"Vitron HTC2446D 24"" Inch Television HD Digital LED TV AC/DC USB HDMI - Black","KSh 9,999","KSh 13,000",23%,3.9,3.9 out of 5(55)
Vitron 24 INCH HTC-2446D Digital LED TV Inbuilt Decoder Television AC/DC - Black,"KSh 9,999","KSh 13,999",29%,4.3,4.3 out of 5(28)
"Vitron HTC3218,32 Inch Digital TV Inbuilt Decoder 2*USB 3*HDMI+FREE Bracket+Extension","KSh 12,795","KSh 16,500",22%,3.8,3.8 out of 5(29)
"LG 24"" With INBUILT DECORDER DIGITAL TV WITH USB & HDMI PORTS","KSh 14,500","KSh 19,000",24%,5,5 out of 5(2)
"CTC Digital TV Full HD Television Black ,With DC cable,USB","KSh 6,997","KSh 9,000",22%,N/A,N/A
Amtec 32” Digital LED HD TV - Black,"KSh 12,999","KSh 20,000",35%,4.8,4.8 out of 5(8)
"Syinix 32E62M- 32""inch Frameless HD LED Digital TV  Inbuilt Decoder I-cast Television Free Bracket + Extension- Black","KSh 12,995","KSh 17,500",26%,N/A,N/A
"Vitron HTC3218,32 Inches Frameless Digital LED TV InbuiltDecoder,USB,HDMI,","KSh 12,295","KSh 20,000",39%,5,5 out of 5(1)
"Vitron HTC3200S,32 Inch Smart Android Television With Inbuilt Wifi Inbuilt Decoder","KSh 13,595","KSh 20,000",32%,4,4 out of 5(9)
"Hisense 32"" Inches Frameless Digital HD LED TV Inbuilt Decoder, 2 Year Warranty-Black","KSh 16,995","KSh 20,000",15%,3.8,3.8 out of 5(4)
"Vitron HTC3218,32"" Frameless Digital TV,HDMI/USB Port InbuiltDecoder+FREE Wall Bracket","KSh 12,495","KSh 20,000",38%,4.1,4.1 out of 5(10)
CTC Digital Inbuilt Decorder -With USB & HDMI OUTPUT-22'' Inches.,"KSh 6,697","KSh 9,999",33%,5,5 out of 5(1)
"CTC 26'',LED DIGITAL,HD -USB AND HDMI CONNECTIVITY","KSh 8,497","KSh 11,000",23%,3,3 out of 5(1)
"Skilltech SH44T Tilting  WallMount Bracket 23""32""43""-55"" Inch Tv","KSh 1,549","KSh 2,000",23%,5,5 out of 5(1)
